id,date,sumDisMon,sumDisTue,sumDisWed,sumDisThu,sumDisFri,sumDisSat,sumDisSun,sumDistance,cumDistance,countRides,ATLEOW,CTLEOW,avgIF
1,9/11/2017,27.2959,13.3613,0,21.9167,0,0,0,62.5739,62.5739,3,20,39,74.33
2,9/18/2017,0,0,24.619,26.5464,0,38.7803,29.4153,119.361,181.9349,4,36,37,78.14
3,9/25/2017,0,2.00948,19.7041,30.6461,0,44.6144,26.5601,123.53418,305.46908,5,53,41,76.85
4,10/2/2017,0,25.7732,23.43823136,28.32881,0,32.24514,32.24514,142.0305214,447.4996014,5,61,43,78.1
5,10/9/2017,0,24.5,25.7732,31.16,0,37.248,36.8744,155.5556,603.0552014,5,72.1,49.6,81.69
6,10/16/2017,0,50.3379,13.28,22.3995,0,78.8432,34.5168,199.3774,802.4326014,5,64.8,46.1,72.1
7,10/23/2017,0,53.5602,25.4102,12.6346,24.9115,83.1676,24.7912,224.4753,1026.907901,6,78.5,53.7,77.3
8,10/30/2017,0,46.3758,23.842,25.9037,0,0,0,96.1215,1123.029401,3,67.9,53.5,74.05
9,11/6/2017,0,0,0,0,0,87.2227,31.5057,118.7284,1241.757801,2,66.8,51.3,78.83
10,11/13/2017,0,56.4803,16.3712,0,0,73.21,59.6474,205.7089,1447.466701,4,77.8,54.6,58.4
11,11/20/2017,0,29.567,26.4068,52.6226,0,88.5449,61.7779,258.9192,1706.385901,5,93.4,60.3,80.66
12,11/27/2017,26.1957,53.0159,0,0,36.5445,53.7326,0,143.293,1849.678901,3,69.7,59.6,82.69
13,12/4/2017,0,34.2083,33.8492,0,36.4132,87.0343,0,217.7007,2067.379601,5,88.3,64.6,81.07
14,12/11/2017,40.1021,26.3063,0,34.6584,40.0368,93.938,0,235.0416,2302.421201,5,105.3,69.8,83.68
15,12/18/2017,40.0668,27.1979,41.2395,49.5692,0,80.5879,50.9347,289.596,2592.017201,6,97.3,72.7,78.88
16,12/25/2017,0,27.8326,34.4511,27.7956,42.2963,81.7515,0,214.1271,2806.144301,5,89.4,72.6,70.67
17,1/1/2018,0,26.7781,43.4862,34.2901,0,91.0824,0,237.5831,3043.727401,5,88.6,73.1,83.7
18,1/8/2018,41.9463,61.3349,33.5495,0,43.8621,56.239,0,194.9855,3238.712901,4,91,75.4,85.49
19,1/15/2018,42.463,0,0,0,0,0,0,42.463,3281.175901,1,83.5,74.6,87.02
20,1/22/2018,26.3038,38.0114,34.9731,26.0622,60.1775,0,0,185.528,3466.703901,5,60.6,66.7,78.43
21,1/29/2018,0,61.3638,39.5053,30.242,63.8949,93.5246,0,288.5306,3755.234501,5,100.5,75.3,78.61
22,2/5/2018,56.8819,0,0,0,0,81.8865,0,138.7684,3894.002901,2,92,76.2,82.95
23,2/12/2018,46.8671,20.1885,17.842,0.56701,23.6458,6.89532,12.1989,128.20463,4022.207531,7,73,74,63.21
24,2/19/2018,60.4766,23.4608,30.4448,30.5132,65.2769,59.1541,57.5409,326.8673,4349.074831,7,91.6,79,76.88
25,2/26/2018,56.9277,23.1717,0,29.7016,58.5777,58.4368,0,226.8155,4575.890331,5,104.2,82.6,76.81
26,3/5/2018,32.6682,0,30.4121,0,31.5962,71.6792,0,166.3557,4742.246031,4,75.3,77.9,85.83
27,3/12/2018,18.7164,14.3306,18.224,14.0716,29.6856,71.6092,0,166.6374,4908.883431,6,64.6,73.8,74.62
28,3/19/2018,0,30.1584,11.2093,0,36.5445,100.883,0,178.7952,5087.678631,4,71.4,71.9,72.78
29,3/26/2018,0,28.9206,28.637,64.7026,105.05,25.0808,0,252.391,5340.069631,5,92.7,75.4,82.1
30,4/2/2018,0,32.6636,27.328,36.9916,61.4579,113.12,0,271.5611,5611.630731,5,103.9,78.4,81.23
31,4/9/2018,37.8057,0,43.057,28.686,18.606,99.2745,0,227.4292,5839.059931,5,104.6,80.5,78.4
32,4/16/2018,54.8078,0,40.6413,38.3388,66.6656,112.118,0,312.5715,6151.631431,5,115.5,84.9,81.29
33,4/23/2018,47.9085,0,40.67555,27.8626,68.2147,0,0,184.66135,6336.292781,5,103.3,85.1,83.48
34,4/30/2018,30.835,28.196,0,29.106,80.4672,14.6464,109.639,292.8896,6629.182381,6,92.9,82.2,75.86
